game_id,season,game_type,week,gameday,gametime,away_team,away_score,home_team,home_score,result,overtime,location
2025_01_DAL_PHI,2025,REG,1,2025-09-04,20:20,DAL,20,PHI,24,4.0,0.0,Home
2025_01_KC_LAC,2025,REG,1,2025-09-05,20:00,KC,21,LAC,27,6.0,0.0,Neutral
2025_01_ARI_NO,2025,REG,1,2025-09-07,13:00,ARI,20,NO,13,-7.0,0.0,Home
2025_01_BAL_BUF,2025,REG,1,2025-09-07,20:20,BAL,40,BUF,41,1.0,0.0,Home
2025_01_CAR_JAX,2025,REG,1,2025-09-07,13:00,CAR,10,JAX,26,16.0,0.0,Home
2025_01_CIN_CLE,2025,REG,1,2025-09-07,13:00,CIN,17,CLE,16,-1.0,0.0,Home
2025_01_DET_GB,2025,REG,1,2025-09-07,16:25,DET,13,GB,27,14.0,0.0,Home
2025_01_HOU_LA,2025,REG,1,2025-09-07,16:25,HOU,9,LAR,14,5.0,0.0,Home
2025_01_LV_NE,2025,REG,1,2025-09-07,13:00,LV,20,NE,13,-7.0,0.0,Home
2025_01_MIA_IND,2025,REG,1,2025-09-07,13:00,MIA,8,IND,33,25.0,0.0,Home
2025_01_NYG_WAS,2025,REG,1,2025-09-07,13:00,NYG,6,WAS,21,15.0,0.0,Home
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,13:00,PIT,34,NYJ,32,-2.0,0.0,Home
2025_01_SF_SEA,2025,REG,1,2025-09-07,16:05,SF,17,SEA,13,-4.0,0.0,Home
2025_01_TB_ATL,2025,REG,1,2025-09-07,13:00,TB,23,ATL,20,-3.0,0.0,Home
2025_01_TEN_DEN,2025,REG,1,2025-09-07,16:05,TEN,12,DEN,20,8.0,0.0,Home
2025_01_MIN_CHI,2025,REG,1,2025-09-08,20:15,MIN,27,CHI,24,-3.0,0.0,Home
2025_02_WAS_GB,2025,REG,2,2025-09-11,20:15,WAS,18,GB,27,9.0,0.0,Home
2025_02_ATL_MIN,2025,REG,2,2025-09-14,20:20,ATL,22,MIN,6,-16.0,0.0,Home
2025_02_BUF_NYJ,2025,REG,2,2025-09-14,13:00,BUF,30,NYJ,10,-20.0,0.0,Home
2025_02_CAR_ARI,2025,REG,2,2025-09-14,16:05,CAR,22,ARI,27,5.0,0.0,Home
2025_02_CHI_DET,2025,REG,2,2025-09-14,13:00,CHI,21,DET,52,31.0,0.0,Home
2025_02_CLE_BAL,2025,REG,2,2025-09-14,13:00,CLE,17,BAL,41,24.0,0.0,Home
2025_02_DEN_IND,2025,REG,2,2025-09-14,16:05,DEN,28,IND,29,1.0,0.0,Home
2025_02_JAX_CIN,2025,REG,2,2025-09-14,13:00,JAX,27,CIN,31,4.0,0.0,Home
2025_02_LA_TEN,2025,REG,2,2025-09-14,13:00,LAR,33,TEN,19,-14.0,0.0,Home
2025_02_NE_MIA,2025,REG,2,2025-09-14,13:00,NE,33,MIA,27,-6.0,0.0,Home
2025_02_NYG_DAL,2025,REG,2,2025-09-14,13:00,NYG,37,DAL,40,3.0,1.0,Home
2025_02_PHI_KC,2025,REG,2,2025-09-14,16:25,PHI,20,KC,17,-3.0,0.0,Home
2025_02_SEA_PIT,2025,REG,2,2025-09-14,13:00,SEA,31,PIT,17,-14.0,0.0,Home
