season,team,position,jersey_number,status,full_name,college,pfr_id,years_exp
2026,ARI,DB,28,ACT,Andrew Wingard,Wyoming,WingAn01,7
2026,ARI,DB,3,ACT,Budda Baker,Washington,BakeBu00,9
2026,ARI,DB,42,ACT,Dadrion Taylor-Demerson,Texas Tech,TaylDa02,2
2026,ARI,DB,29,ACT,Denzel Burke,Ohio State,BurkDe01,1
2026,ARI,DB,21,ACT,Garrett Williams,Syracuse,WillGa00,3
2026,ARI,DB,32,RES,Joey Blount,Virginia,BlouJo00,4
2026,ARI,DB,35,DEV,Kalen King,Penn State,KingKa00,2
2026,ARI,DB,13,ACT,Kei'Trel Clark,Louisville,ClarKe02,3
2026,ARI,DB,36,ACT,Kitan Crawford,Nevada; Texas,CrawKi00,1
2026,ARI,DB,16,ACT,Max Melton,Rutgers,MeltMa00,2
2026,ARI,DB,24,DEV,Starling Thomas V,UAB,ThomSt01,3
2026,ARI,DB,2,ACT,Will Johnson,Michigan,JohnWi02,1
2026,ARI,DB,31,ACT,Wydett Williams Jr.,Mississippi; Louisiana-Monroe; Delta State University,,0
2026,ARI,DL,95,ACT,Andrew Billings,Baylor,BillAn00,10
2026,ARI,DL,93,DEV,Cam Horsley,Boston College,,1
2026,ARI,DL,96,DEV,Damonic Williams,Oklahoma; TCU,,0
2026,ARI,DL,55,ACT,Dante Stills,West Virginia,StilDa01,3
2026,ARI,DL,56,ACT,Darius Robinson,Missouri,RobiDa01,2
2026,ARI,DL,98,DEV,Jared Harrison-Hunte,SMU; Miami,,1
2026,ARI,DL,94,RES,Kaleb Proctor,Southeastern Louisiana,ProcKa01,0
2026,ARI,DL,91,ACT,L.J. Collier,TCU,CollLJ00,7
2026,ARI,DL,51,ACT,Roy Lopez,Arizona,LopeRo00,5
2026,ARI,DL,97,ACT,Walter Nolen,Mississippi; Texas A&M,NoleWa00,1
2026,ARI,DL,90,RES,Zachary Carter,Florida,CartZa00,4
2026,ARI,K,38,ACT,Chad Ryland,Maryland; Eastern Michigan,RylaCh00,3
2026,ARI,LB,5,ACT,Baron Browning,Ohio State,BrowBa01,5
2026,ARI,LB,49,DEV,Cam Robertson,SMU; North Texas,,0
2026,ARI,LB,0,ACT,Cody Simon,Ohio State,SimoCo01,1
2026,ARI,LB,54,ACT,Eku Leota,Auburn,LeotEk00,3
2026,ARI,LB,48,DEV,Eugene Asante,Auburn; North Carolina,,1
2026,ARI,LB,50,ACT,Jack Gibbens,Minnesota; Abilene Christian,GibbJa00,4
2026,ARI,LB,52,ACT,Jordan Burch,Oregon; South Carolina,BurcJo00,1
2026,ARI,LB,10,ACT,Josh Sweat,Florida State,SweaJo00,8
2026,ARI,LB,43,ACT,Karson Sharar,Iowa,SharKa00,0
2026,ARI,LB,1,ACT,Mack Wilson,Alabama,WilsMa03,7
2026,ARI,LB,25,ACT,Zaven Collins,Tulsa,CollZa00,5
2026,ARI,LS,59,ACT,Casey Kreiter,Iowa,,12
2026,ARI,OL,57,RES,Chase Bisontis,Texas A&M,,0
2026,ARI,OL,67,DEV,Demontrey Jacobs,South Florida Community College; Grambling State,,3
2026,ARI,OL,65,ACT,Elijah Wilkinson,UMass Amherst,,9
2026,ARI,OL,58,ACT,Hayden Conner,Texas,,1
2026,ARI,OL,72,ACT,Hjalte Froholdt,Arkansas,,7
2026,ARI,OL,73,ACT,Isaac Seumalo,Oregon State,,10
2026,ARI,OL,74,ACT,Isaiah Adams,Illinois; Garden City CC,,2
2026,ARI,OL,66,ACT,Jayden Williams,Mississippi,,0
2026,ARI,OL,71,ACT,Jon Gaines II,UCLA,,3
2026,ARI,OL,78,ACT,Josh Fryar,Ohio State,,1
2026,ARI,OL,76,DEV,Matt Pryor,TCU,,8
2026,ARI,OL,70,ACT,Paris Johnson Jr.,Ohio State,,3
2026,ARI,OL,69,DEV,Valentin Senn,Connecticut; Colorado,,1
2026,ARI,OL,63,DEV,Vershon Lee,South Carolina,,1
2026,ARI,P,12,ACT,Blake Gillikin,Penn State,GillBl00,6
2026,ARI,QB,19,ACT,Carson Beck,Miami; Georgia,BeckCa01,0
2026,ARI,QB,15,ACT,Gardner Minshew,Washington State,MinsGa00,7
2026,ARI,QB,7,ACT,Jacoby Brissett,N.C. State; Florida,BrisJa00,10
2026,ARI,RB,20,ACT,Bam Knight,N.C. State,KnigZo00,4
2026,ARI,RB,26,DEV,Evan Hull,Northwestern,HullEv00,3
2026,ARI,RB,6,RES,James Conner,Pittsburgh,ConnJa00,9
2026,ARI,RB,4,ACT,Jeremiyah Love,Notre Dame,LoveJe00,0
2026,ARI,RB,33,RES,Trey Benson,Florida State; Oregon,BensTr01,2
2026,ARI,RB,22,ACT,Tyler Allgeier,BYU,AllgTy00,4
2026,ARI,TE,84,ACT,Elijah Higgins,Stanford,HiggEl00,3
2026,ARI,TE,89,ACT,Hunter Long,Boston College,LongHu00,5
2026,ARI,TE,46,RES,Jameson Geers,Minnesota,,0
2026,ARI,TE,44,DEV,Shawn Bowman,Rutgers; Maine,,2
2026,ARI,TE,47,DEV,Teagan Quitoriano,Oregon State,QuitTe00,4
2026,ARI,TE,87,RES,Tip Reiman,Illinois,ReimTi00,2
2026,ARI,TE,85,ACT,Trey McBride,Colorado State,McBrTr01,4
2026,ARI,WR,81,ACT,Devin Duvernay,Texas,DuveDe00,6
2026,ARI,WR,30,DEV,Harrison Wallace III,Mississippi; Penn State,WallHa00,0
2026,ARI,WR,83,DEV,Ihmir Smith-Marsette,Iowa,SmitIh00,5
2026,ARI,WR,83,ACT,Jalen Brooks,South Carolina; Tarleton State; Wingate,BrooJa03,3
2026,ARI,WR,17,ACT,Kendrick Bourne,Eastern Washington,BourKe00,9
2026,ARI,WR,18,ACT,Marvin Harrison Jr.,Ohio State,HarrMa09,2
2026,ARI,WR,14,ACT,Michael Wilson,Stanford,WilsMi02,3
2026,ARI,WR,82,ACT,Reggie Virgil,Texas Tech; Miami (Ohio),VirgRe00,0
2026,ARI,WR,80,ACT,Simi Fehoko,Stanford,FehoSi00,5
2026,ATL,DB,24,ACT,A.J. Terrell,Clemson,TerrAJ00,6
2026,ATL,DB,12,ACT,Avieon Terrell,Clemson,TerrAv00,0
2026,ATL,DB,33,ACT,Billy Bowman Jr.,Oklahoma,BowmBi01,1
2026,ATL,DB,26,ACT,C.J. Henderson,Florida,HendCJ00,6
2026,ATL,DB,30,DEV,Darnay Holmes,UCLA,HolmDa01,6
2026,ATL,DB,41,RES,Darren Hall,San Diego State,HallDa03,5
2026,ATL,DB,23,ACT,DeMarcco Hellams,Alabama,HellDe00,3
2026,ATL,DB,34,DEV,Jammie Robinson,Florida State,RobiJa03,3
2026,ATL,DB,3,ACT,Jessie Bates,Wake Forest,BateJe00,8
2026,ATL,DB,36,ACT,Malcolm DeWalt IV,Akron; Butte College; Snow,,0
2026,ATL,DB,28,ACT,Mike Ford,Southeast Missouri State,FordMi01,8
2026,ATL,DB,21,ACT,Mike Hughes,UCF; Garden City CC; North Carolina,HughMi00,8
2026,ATL,DB,29,ACT,Sydney Brown,Illinois,BrowSy00,3
2026,ATL,DB,31,ACT,Xavier Watts,Notre Dame,WattXa00,1
2026,ATL,DL,98,RES,Anterio Thompson,Washington; Western Michigan; Iowa; Iowa Western CC,ThomAn03,0
2026,ATL,DL,54,ACT,Brandon Dorlus,Oregon,DorlBr00,2
2026,ATL,DL,99,ACT,Cameron Thomas,San Diego State,ThomCa03,4
2026,ATL,DL,79,DEV,Carlos Allen Jr.,Houston; Kennesaw State,,0
2026,ATL,DL,90,ACT,Da'Shawn Hand,Alabama,HandDa00,8
2026,ATL,DL,95,ACT,Gervon Dexter Sr.,Florida,DextGe00,3
2026,ATL,DL,51,ACT,Jared Ivey,Mississippi; Georgia Tech,IveyJa00,1
2026,ATL,DL,59,RES,Keshawn Banks,San Diego State,,3
2026,ATL,DL,54,DEV,Khalid Kareem,Notre Dame,KareKh00,6
2026,ATL,DL,94,ACT,LaCale London,Western Illinois,LondLa00,6
2026,ATL,DL,92,ACT,Maason Smith,LSU,SmitMa07,2
2026,ATL,DL,52,ACT,Samson Ebukam,Eastern Washington,EbukSa00,9
2026,ATL,DL,96,DEV,Zach Harrison,Ohio State,HarrZa00,3
2026,ATL,K,6,ACT,Nick Folk,Arizona,FolkNi20,19
2026,ATL,LB,45,ACT,Christian Harris,Alabama,HarrCh06,4
2026,ATL,LB,50,RES,DeAngelo Malone,Western Kentucky,MaloDe00,4
2026,ATL,LB,0,ACT,Divine Deablo,Virginia Tech,DeabDi00,5
2026,ATL,LB,56,ACT,Harold Perkins Jr.,LSU,PerkHa01,0
2026,ATL,LB,40,RES,JD Bertrand,Notre Dame,BertJD00,2
2026,ATL,LB,11,RES,Jalon Walker,Georgia,WalkJa02,1
2026,ATL,LB,27,RES,James Pearce Jr.,Tennessee,PearJa00,1
2026,ATL,LB,42,ACT,Josh Woods,Maryland,WoodJo02,8
2026,ATL,LB,53,ACT,Kendal Daniels,Oklahoma; Oklahoma State,DaniKe00,0
2026,ATL,LB,43,RES,Malik Verdon,Iowa State,,1
2026,ATL,LB,22,ACT,Yasir Abdullah,Louisville,AbduYa00,3
2026,ATL,LB,55,ACT,Za'Darius Smith,Kentucky; East Mississippi JC,SmitZa00,11
2026,ATL,LS,49,ACT,Liam McCullough,Ohio State,,6
2026,ATL,OL,73,ACT,Cameron Williams,Texas,,1
2026,ATL,OL,63,ACT,Chris Lindstrom,Boston College,,7
